SeqCluster,Domain_IDs,ClusterNumber,Pfam_result
CK_00055727,PF02922  PF02922  PF00128  PF11852,CK_Syn_A15-24_02118,PF00128|PF02922|PF21156
CK_00055732, ,CK_Cya_PCC6307_02644, 
CK_00055733, ,CK_Cya_PCC6307_02623, 
CK_00055736,PF14521,CK_Cya_PCC6307_02625,PF14521
CK_00055737, ,CK_Cya_PCC6307_02624, 
CK_00055740,PF02655  PF08443,CK_Syn_WH7803_01936,PF02786|PF08245|PF13549
CK_00055743,PF04542  PF07638  PF13428,CK_Cya_PCC6307_02576,PF04542|PF20239
CK_00055748,PF13472,CK_Syn_A15-127_02357,PF00657
CK_00055755, ,CK_Cya_PCC6307_02559,PF14312
CK_00055756,PF09972,CK_Cya_PCC6307_02553,PF09972|PF20990
CK_00055778, ,CK_Cya_PCC6307_03230, 
CK_00055779,PF06206  PF12204,CK_Cya_PCC6307_03235,PF06206
CK_00055782,PF07143  PF17186,CK_Cya_PCC6307_03262,PF07143|PF17186
CK_00055783, ,CK_Cya_PCC6307_03269, 
CK_00055785,PF12704  PF02687  PF12704  PF02687,CK_Cya_PCC6307_03261,PF02687
CK_00055786,PF11187,CK_Cya_PCC6307_03193,PF01764
CK_00055787,PF03814,CK_Cya_PCC6307_03182,PF03814
CK_00055791,PF14234,CK_Cya_PCC6307_03092,PF14234
CK_00055793,PF02702  PF00582,CK_Cya_PCC6307_03178,PF00582|PF02702
CK_00055796, ,CK_Cya_PCC6307_03056, 
CK_00055810,PF17897  PF01569,CK_Cya_PCC6307_02828, 
CK_00055813,PF06314,CK_Cya_PCC6307_02824, 
CK_00055814, ,CK_Cya_PCC6307_02827, 
CK_00055815,PF01370  PF03435  PF16653,CK_Cya_PCC6307_02823,PF03435
CK_00055816,PF00348,CK_Cya_PCC6307_02822,PF00348
CK_00055818,PF13450  PF01593,CK_Cya_PCC6307_02820,PF01593|PF13450
CK_00055823,PF13688  PF04151  PF03160  PF00754,CK_Cya_PCC6307_02813,PF07483|PF13582
CK_00055824,PF00487,CK_Cya_PCC6307_02722,PF00173|PF00487
CK_00055827,PF00529  PF16576,CK_Cya_PCC6307_02692,PF13437
CK_00055828,PF13489,CK_Cya_PCC6307_02687,PF13489
CK_00055829,PF13515,CK_Cya_PCC6307_02705,PF13515
CK_00055830,PF00331,CK_Cya_PCC6307_02693,PF00331
CK_00055856,PF13486  PF12838  PF13484  PF00037,CK_Cya_PCC6307_02355,PF12838
CK_00055872,PF06779,CK_Cya_PCC6307_02368,PF07690
CK_00055876,PF12439  PF12439  PF06202,CK_Cya_PCC6307_02397,PF06202|PF12439
CK_00055877,PF18863,CK_Cya_PCC6307_02377,PF18863
CK_00055879,PF04607  PF04607,CK_Cya_PCC6307_02424,PF04607
CK_00055885, ,CK_Syn_KORDI-49_12090, 
CK_00055886,PF02811  PF00929  PF00929,CK_Syn_KORDI-49_12100,PF00929
CK_00055891,PF05697  PF00254  PF05698,CK_Syn_NOUM97013_00067,PF00254|PF05697|PF05698
CK_00055898,PF10096,CK_Cya_NS01_01124,PF01522
CK_00055911,PF05345  PF08548  PF00353  PF00353,CK_Syn_KORDI-49_09030,PF00353
CK_00055912,PF13432  PF13428  PF13431  PF13429,CK_Syn_A15-127_01004,PF00515|PF13181|PF13414
CK_00055920,PF14296,CK_Syn_RS9902_01205, 
CK_00055930,PF13847,CK_Syn_KORDI-49_22250,PF13489
CK_00055933, ,CK_Syn_KORDI-49_22180, 
CK_00055934, ,CK_Syn_KORDI-49_22200, 
CK_00055941, ,CK_Syn_BIOS-E4-1_02072, 
CK_00055944,PF13579  PF00534  PF13524  PF08795,CK_Syn_WH8103_00464,PF00534|PF13439
CK_00055956,PF02010  PF08548,CK_Syn_KORDI-49_18330,PF00353|PF17963
CK_00055997,PF07244  PF03865  PF01103,CK_Cya_CB0101_07350,PF03865
CK_00056000,PF01755,CK_Syn_KORDI-49_00900, 
CK_00056006,PF01501,CK_Syn_KORDI-49_01070,PF01501
CK_00056012,PF13371  PF14559  PF05843  PF18588,CK_Syn_KORDI-49_01540,PF13181|PF14559|PF18588
CK_00056024, ,CK_Syn_KORDI-49_08420, 
CK_00056051,PF05721,CK_Syn_CC9902_01683,PF05721
CK_00056053, ,CK_Syn_BOUM118_01229, 
CK_00056065, ,CK_Syn_KORDI-100_29440,PF09889
CK_00056070, ,CK_Syn_KORDI-100_28930, 
CK_00056082,PF04577,CK_Cya_PCC6307_02115,PF04577
CK_00056083,PF00535  PF13632,CK_Cya_PCC6307_02154,PF00535
CK_00056085, ,CK_Cya_PCC6307_02197, 
CK_00056086, ,CK_Cya_PCC6307_02188, 
CK_00056089, ,CK_Cya_PCC6307_02228, 
CK_00056090,PF14264,CK_Cya_PCC6307_02207,PF14264
CK_00056092, ,CK_Cya_PCC6307_02256, 
CK_00056094,PF13727  PF02397,CK_Pro_MIT9401_00148,PF02397|PF13727
CK_00056102,PF08323  PF05693,CK_Cya_PCC6307_02257,PF13579|PF13692
CK_00056103,PF00753  PF12706  PF00072  PF01590,CK_Cya_PCC6307_02281,PF01590|PF12706
CK_00056104,PF05891,CK_Cya_PCC6307_02269,PF13649
CK_00056107,PF08548  PF00353,CK_Cya_CB0101_04429, 
CK_00056119,PF00487,CK_Cya_CB0101_05146,PF00487
CK_00056125,PF09587,CK_Cya_CB0101_05246,PF09587
CK_00056131,PF00690  PF00122  PF00122  PF00702  PF08282  PF00689,CK_Cya_CB0101_05286,PF00122|PF00689|PF00690|PF00702|PF13246
CK_00056141,PF01541,CK_Cya_CB0101_04499, 
CK_00056155,PF08713,CK_Cya_PCC6307_01522, 
CK_00056159,PF13748,CK_Cya_PCC6307_01520,PF13748
CK_00056169,PF00581  PF00581,CK_Cya_PCC6307_01511,PF00581
CK_00056172,PF00953,CK_Pro_MIT0603_01493,PF00953
CK_00056174,PF04143,CK_Cya_PCC6307_01509,PF04143
CK_00056179, ,CK_Pro_MIT9322_01659, 
CK_00056186,PF02955,CK_Cya_PCC6307_01797, 
CK_00056187,PF00529  PF16576,CK_Cya_PCC6307_01790,PF16576
CK_00056194,PF13395,CK_Cya_PCC6307_01763, 
CK_00056196, ,CK_Cya_PCC6307_01735, 
CK_00056203,PF13175,CK_Cya_PCC6307_01764,PF13175|PF13304
CK_00056207,PF02900,CK_Cya_PCC6307_01719,PF02900
CK_00056214,PF13191  PF01637,CK_Cya_PCC6307_01701,PF13401
CK_00056219,PF12869,CK_Cya_PCC6307_01952, 
CK_00056220,PF18476,CK_Cya_PCC6307_01943,PF18476
CK_00056221,PF05977,CK_Cya_PCC6307_01944,PF05977
CK_00056222,PF10994,CK_Cya_PCC6307_01937,PF10994
CK_00056224, ,CK_Cya_PCC6307_01935, 
CK_00056227,PF01548  PF01548  PF02371,CK_Cya_PCC6307_01930,PF01548|PF02371
CK_00056228,PF00128  PF11941,CK_Cya_PCC6307_01929,PF00128|PF02806
CK_00056229, ,CK_Cya_PCC6307_01918, 
CK_00056231,PF03572,CK_Cya_PCC6307_01921,PF03572
CK_00056233, ,CK_Cya_PCC6307_01917,PF13472
CK_00056237,PF00245  PF00245  PF08548  PF00353  PF08548,CK_Cya_PCC6307_01850,PF00245
CK_00056238, ,CK_Cya_PCC6307_01905, 
CK_00056239,PF00535  PF13506,CK_Cya_PCC6307_01904,PF00535|PF20680
CK_00056245,PF02350,CK_Cya_PCC6307_02106,PF13439
CK_00056247,PF03372,CK_Cya_PCC6307_02051,PF03372
CK_00056253,PF09594,CK_Cya_PCC6307_02008, 
CK_00056256,PF02517,CK_Cya_PCC6307_02024,PF02517
CK_00056269,PF03797,CK_Syn_RS9916_32452,PF03797
CK_00056285,PF13583,CK_Syn_RS9907_00990,PF00353|PF08548
CK_00056289,PF06863  PF06742,CK_Syn_BL107_11291,PF06742|PF06863
CK_00056291,PF01050,CK_Pro_EQPAC1_00793, 
CK_00056300, ,CK_Syn_KORDI-100_25460, 
CK_00056316,PF00145,CK_Pro_MIT9215_04591,PF00145
CK_00056318,PF06039  PF06039,CK_Cya_PCC7001_01408,PF01266
CK_00056322,PF10613  PF00497  PF00060,CK_Syn_BMK-MC-1_02919,PF00497
CK_00056331,PF12704  PF02687,CK_Syn_WH8016_00592,PF02687|PF12704
CK_00056335,PF08548  PF00353,CK_Syn_PROS-U-1_00624,PF00353
CK_00056341, ,CK_Syn_ROS8604_00241,PF03567
CK_00056355, ,CK_Pro_MIT9312_01327, 
CK_00056357,PF00884  PF16347,CK_Pro_MIT0702_01754,PF00884
CK_00056367,PF17936  PF13753  PF13750  PF13750  PF13750  PF17892  PF17892,CK_Syn_RS9907_00539,PF19078
CK_00056377,PF03102  PF03102  PF07883,CK_Pro_MIT9311_01169,PF03102|PF07883
CK_00056401,PF08434,CK_Syn_KORDI-49_11980,PF00092
CK_00056410, ,CK_Syn_KORDI-100_23440, 
CK_00056418,PF02348  PF08282,CK_Pro_MIT9312_01341,PF01467
CK_00056432, ,CK_Pro_MIT0602_00072, 
CK_00056436,PF09258,CK_Cya_PCC7001_00611, 
CK_00056438,PF02417  PF02417  PF02417,CK_Cya_PCC6307_01079,PF02417
CK_00056447,PF00535  PF02709,CK_Syn_KORDI-100_21030,PF00535|PF13469
CK_00056469,PF00248,CK_Pro_MIT9314_01836,PF00248
CK_00056701,PF10098,CK_Pro_LG_01137, 
CK_00056702, ,CK_Syn_CC9311_00711,PF20191
CK_00056703,PF00493  PF13519  PF00092,CK_Cya_WH5701_11024,PF01078|PF13519|PF17863
CK_00056705,PF01041,CK_Pro_MIT0602_00050,PF01041
CK_00056706,PF01041,CK_Syn_WH8102_00446,PF01041
CK_00056707,PF01041,CK_Pro_MIT9215_14191,PF01041
CK_00056708,PF01041,CK_Pro_MIT0601_01351,PF01041
CK_00056709,PF14490  PF14490  PF05970  PF13538,CK_Cya_WH5701_08609,PF13245|PF13538|PF14490|PF14520|PF18335
CK_00056711,PF00977  PF02540,CK_Syn_BOUM118_00460,PF00977
CK_00056712,PF00977,CK_Pro_MIT9313_00100,PF00977
CK_00056713,PF00977,CK_Syn_BIOS-U3-1_00272,PF00977
CK_00056714,PF00254  PF08548  PF00353  PF00353,CK_Cya_CB0101_13700,PF00254|PF00353|PF08548
CK_00056716,PF07676  PF10647  PF00326,CK_Syn_PROS-7-1_02623,PF00326
CK_00056717,PF00155,CK_Syn_MITS9220_02353,PF00155
CK_00056718,PF00155,CK_Syn_PROS-U-1_00104,PF00155
CK_00056719,PF02779  PF02779  PF02780,CK_Pro_GP2_01249,PF02779|PF02780
CK_00056720,PF02779  PF02779  PF02780,CK_Pro_MIT9303_01041,PF02779|PF02780
CK_00056721,PF00916  PF01740,CK_Pro_NATL2A_01581,PF00916|PF01740
CK_00056722,PF00916  PF01740  PF13466,CK_Cya_WH5701_04595,PF00916|PF01740
CK_00056724,PF00916,CK_Syn_WH7805_06456,PF00916
CK_00056726,PF03600  PF13426  PF08448  PF03600  PF13426  PF00989  PF13426  PF13185  PF08448  PF03600  PF13426  PF07701  PF13492  PF07568  PF02518,CK_Cya_PCC6307_00259, 
CK_00056727,PF08548  PF00353  PF00353  PF13946,CK_Pro_MIT0701_01519,PF00353
CK_00056731,PF17892  PF17963  PF17963  PF17963  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17803  PF17892  PF17963  PF17892  PF17892  PF17892  PF17963  PF17963  PF17892  PF16184  PF17963  PF17963  PF17963  PF17892  PF17892  PF17963  PF17963  PF17892  PF17963,CK_Syn_PROS-7-1_01883,PF17803|PF17892|PF17963
CK_00056732,PF02746  PF13378  PF07755,CK_Cya_PCC7001_00621,PF02746|PF07755|PF13378|PF17396
CK_00056733,PF07755,CK_Syn_RS9909_02070,PF07755|PF17396
CK_00056734,PF06800,CK_Cya_PCC6307_02794,PF00892
CK_00056735,PF00890  PF02910  PF02910,CK_Pro_MIT9301_12651,PF00890|PF02910
CK_00056736,PF00890  PF02910,CK_Syn_BIOS-E4-1_00181,PF00890|PF02910
CK_00056737,PF00529  PF16576,CK_Cya_PCC6307_02899,PF13437
CK_00056738,PF00529  PF16576,CK_Cya_PCC6307_02037,PF13533|PF16576
CK_00056739,PF16576  PF00529,CK_Pro_MIT9313_01573,PF16576
CK_00056740,PF16576  PF00529,CK_Syn_BIOS-E4-1_01856,PF16576
CK_00056742,PF00072  PF00486,CK_Cya_CB0101_00150,PF00072|PF00486
CK_00056746,PF16926  PF00512  PF02518,CK_Cya_CB0101_12103,PF00512|PF02518
CK_00056748,PF00672  PF00512  PF02518,CK_Syn_RS9907_00788,PF00512|PF00672|PF02518
CK_00056749,PF00672  PF00512  PF02518,CK_Syn_MITS9220_00685,PF00512|PF00672|PF02518
CK_00056756,PF13493  PF00512  PF02518,CK_Cya_PCC6307_03177,PF00512|PF02518
CK_00056757,PF12860  PF16926  PF00512  PF02518  PF00072  PF07701,CK_Cya_PCC6307_00371,PF00072|PF00512|PF02518
CK_00056758,PF17203  PF07701  PF00512  PF02518  PF00072  PF07701,CK_Cya_PCC6307_01727, 
CK_00056759,PF00027  PF03412  PF00664  PF13476  PF00005  PF13304  PF17833,CK_Syn_MITS9220_03041,PF00005|PF00027|PF00664
CK_00056760,PF04831  PF00027  PF03412  PF03412  PF00664  PF13476  PF00005  PF13304  PF17833,CK_Syn_BL107_06199,PF00005|PF00027|PF00664
CK_00056761,PF00664  PF13476  PF00005  PF13304  PF17833,CK_Syn_A15-60_02248,PF00005|PF00664
CK_00056763,PF00664  PF00005  PF13304  PF17833,CK_Cya_PCC7001_00563,PF00005|PF00664
CK_00056764,PF00664  PF13555  PF13304,CK_Syn_PROS-7-1_00690,PF00005
CK_00056766,PF03412  PF03412  PF00664  PF00005,CK_Syn_PROS-7-1_00691,PF00005|PF00664|PF03412
CK_00056767,PF00072  PF07701  PF00486,CK_Cya_CB0101_00375,PF00072|PF00486
CK_00056768,PF16363,CK_Pro_MIT0701_01722,PF01370
CK_00056771,PF16363,CK_Pro_AS9601_13971,PF01370
CK_00056772,PF16363,CK_Syn_KORDI-100_01150,PF16363
CK_00056773,PF16363,CK_Syn_MEDNS5_00202,PF01370
CK_00056774,PF16363,CK_Syn_A18-40_00473,PF01370
CK_00056776,PF01740  PF02397,CK_Cya_WH5701_12783,PF01740|PF02397
CK_00056777,PF00067,CK_Syn_MVIR-18-1_01585,PF00067
CK_00056790,PF08881  PF01476,CK_Syn_BIOS-E4-1_01473,PF01476
CK_00056791,PF06605  PF01551,CK_Syn_MINOS11_01341,PF01476|PF01551
CK_00056792,PF06605  PF01551,CK_Syn_MITS9220_02519,PF01551
CK_00056794,PF06605  PF01551,CK_Pro_MIT9303_14661,PF01476|PF01551
CK_00056795,PF13561,CK_Cya_WH5701_07166,PF13561
CK_00056798,PF13561,CK_Pro_MIT9515_04211,PF13561
CK_00056799,PF13460  PF13561,CK_Syn_A18-25c_02533,PF13561
CK_00056805,PF03816,CK_Cya_PCC7001_01539,PF03816
CK_00056806,PF00389  PF02826,CK_Pro_MIT9302_01574,PF00389|PF02826
CK_00056807,PF00389  PF02826,CK_Syn_NOUM97013_01730,PF00389|PF02826
CK_00056808,PF00389  PF02826,CK_Syn_PROS-U-1_01314,PF00389|PF02826
CK_00056809,PF00389  PF02826  PF02826,CK_Syn_MINOS11_00201,PF00389|PF02826
CK_00056810,PF00389  PF02826,CK_Pro_UH18301_01983,PF00389|PF02826
CK_00056811,PF00389  PF02826,CK_Pro_MIT9215_14641,PF00389|PF02826
CK_00056812,PF00389  PF02826  PF02826,CK_Pro_MIT9211_12891,PF00389|PF02826
CK_00056813,PF00437,CK_Syn_PROS-7-1_02671,PF00437
CK_00056814,PF00437,CK_Pro_MIT0601_01730,PF00437
CK_00056815,PF00437,CK_Pro_MIT9301_06911,PF00437
CK_00056816,PF03441  PF00875,CK_Cya_PCC7001_01099,PF03441
CK_00056818,PF03412  PF00664  PF09818,CK_Pro_MIT0701_01196,PF00005|PF00664
CK_00056819,PF00664  PF13476  PF13304,CK_Syn_WH7805_03962,PF00005
CK_00056820,PF00664  PF13555  PF00005  PF17833,CK_Syn_PROS-7-1_01881,PF00005|PF00664
CK_00056821,PF16363,CK_Syn_BIOS-E4-1_00103,PF01370
CK_00056822,PF16363,CK_Pro_MIT9314_01870,PF01370
CK_00056824,PF00515  PF13429  PF13414  PF13431  PF07719,CK_Syn_MEDNS5_01594, 
CK_00056830,PF02492  PF07683,CK_Syn_PROS-7-1_01925,PF02492|PF07683
CK_00056831,PF03797,CK_Pro_EQPAC1_00924,PF00240|PF03797
CK_00056832,PF12951  PF03797,CK_Cya_PCC6307_02525,PF03797
CK_00056833,PF03412  PF03412  PF00664  PF00005  PF17833,CK_Pro_MIT0701_02235,PF00005|PF00664|PF03412
CK_00056834,PF03412  PF03412  PF00664  PF00005  PF17833,CK_Syn_RS9916_34552,PF00005|PF00664|PF03412
CK_00056835,PF00498  PF16697  PF00005  PF13166  PF01061,CK_Pro_MIT9303_28591,PF00005|PF00498|PF01061
CK_00056836,PF00005  PF13304,CK_Pro_MIT9201_00726,PF00005
CK_00056838,PF12704  PF02687,CK_Pro_MIT9313_01574,PF02687
CK_00056839,PF12704  PF02687,CK_Pro_MIT9313_01575,PF02687
CK_00056840,PF12704  PF02687,CK_Syn_BIOS-E4-1_01855,PF02687
CK_00056841,PF12704  PF02687,CK_Syn_RS9917_12995,PF02687
CK_00056842,PF03721  PF00984  PF00984  PF03720,CK_Syn_MITS9220_00221,PF00984|PF03720|PF03721
CK_00056843,PF01368  PF00571  PF00571  PF03721  PF00984  PF00984  PF03720,CK_Syn_M16.1_02106,PF00571|PF00984|PF03720|PF03721
CK_00056844,PF03721  PF00984  PF00984  PF03720,CK_Pro_GP2_01256,PF00984|PF03720|PF03721
CK_00056846,PF02776  PF00205  PF02775,CK_Syn_PROS-7-1_00107,PF00205|PF02775|PF02776
CK_00056847,PF16258,CK_Cya_CB0101_09254,PF16258
CK_00056851,PF01883  PF10609,CK_Syn_BIOS-E4-1_00184,PF10609
CK_00056852,PF01145,CK_Pro_MIT9303_02741,PF01145
CK_00056854,PF01425,CK_Cya_PCC6307_01515,PF01425
CK_00056855, ,CK_Syn_WH8101_00653, 
CK_00056856, ,CK_Syn_PROS-U-1_01374, 
CK_00056857,PF08548  PF00353,CK_Pro_MIT9303_21281,PF00353
CK_00056860,PF00672  PF00512  PF02518,CK_Cya_CB0101_12512,PF00512|PF02518
CK_00056862,PF00672  PF07228,CK_Syn_NOUM97013_02865,PF00672|PF07228
CK_00056863,PF07155  PF07228,CK_Syn_A15-60_03001,PF07228
CK_00056864,PF07155  PF07228,CK_Syn_NOUM97013_00825,PF07228
CK_00056865,PF07228,CK_Syn_PROS-U-1_00637,PF07228
CK_00056866,PF04831  PF00027  PF07228,CK_Cya_PCC6307_03431,PF00027|PF07228
CK_00056867,PF00561,CK_Syn_PROS-7-1_02567,PF12697
CK_00056868,PF13579  PF00534  PF13524  PF13439  PF00534,CK_Syn_SYN20_00291,PF00534|PF13439
CK_00056869,PF13579  PF13692  PF13524,CK_Syn_BIOS-U3-1_00228,PF00534|PF13439
CK_00056870,PF05693,CK_Cya_PCC6307_02434,PF13439|PF13692
CK_00056872,PF08643,CK_Syn_A15-24_00472,PF00106
CK_00056873,PF01590  PF00990  PF00990  PF00563,CK_Cya_PCC7001_01468,PF00563|PF00990|PF01590
CK_00056874,PF00528,CK_Pro_MIT9314_00457,PF00528
CK_00056876,PF12974,CK_Pro_MIT9314_00460,PF12974
CK_00056877,PF00005  PF13304,CK_Pro_MIT9314_00459,PF00005
CK_00056878,PF00528,CK_Pro_MIT9314_00458,PF00528
CK_00056879,PF10518  PF05787,CK_Pro_MIT9314_00522,PF05787
CK_00056880,PF01370,CK_Pro_UH18301_01985,PF01370
CK_00056881,PF05787,CK_Cya_PCC7001_00786,PF05787|PF22494
CK_00056882, ,CK_Syn_CC9616_03109,PF22494
CK_00056883,PF09587  PF02872  PF02872  PF10282  PF08309,CK_Syn_PROS-7-1_02803,PF00353|PF02872
CK_00056884,PF13555  PF00005  PF14524,CK_Cya_PCC7001_01300,PF00005|PF14524
CK_00056885,PF00875  PF03441,CK_Cya_PCC6307_01718,PF03441
CK_00056886,PF08392  PF02797  PF02797,CK_Cya_PCC6307_03272,PF00195|PF02797
CK_00056887,PF03055,CK_Syn_KORDI-52_07190,PF03055
CK_00056890,PF00873,CK_Syn_BIOS-E4-1_03998,PF00873
CK_00056891,PF00873,CK_Cya_PCC6307_01791,PF00873
CK_00056892,PF05977,CK_Syn_BIOS-E4-1_02919,PF07690
CK_00056894,PF00140  PF04542  PF04539  PF04545,CK_Syn_WH8101_01323,PF04542
CK_00056895,PF13347  PF00083,CK_Syn_MEDNS5_01465,PF00083
CK_00056897,PF04465,CK_Syn_A15-44_00569,PF19557
CK_00056898,PF08643,CK_Syn_MEDNS5_00990,PF00106
CK_00056901,PF13561,CK_Cya_CB0205_10566,PF00106
CK_00056902,PF00005  PF14524,CK_Cya_CB0101_14364,PF00005|PF14524
CK_00056903,PF01061,CK_Syn_BMK-MC-1_00247,PF01061
CK_00056904,PF00924,CK_Cya_PCC7001_02726,PF00924|PF21082|PF21088
CK_00056905,PF00924,CK_Cya_PCC7001_01789,PF00924|PF21082
CK_00056913,PF00924,CK_Cya_WH5701_04585,PF00924|PF21082
CK_00056914,PF00924,CK_Syn_WH8101_02615,PF00924|PF21082
CK_00056915,PF00924,CK_Syn_RS9917_11685,PF00924
CK_00056916,PF05552  PF00924,CK_Cya_WH5701_11169,PF00924|PF05552|PF21082|PF21088
CK_00056917,PF00924  PF00924,CK_Syn_BMK-MC-1_01027,PF00924
CK_00056918,PF00924  PF00924,CK_Syn_A18-25c_02056,PF00924
CK_00056919,PF00924,CK_Syn_WH7805_10044,PF00924|PF21082|PF21088
CK_00056920,PF00924,CK_Syn_SYN20_00880,PF00924|PF21082
CK_00056921,PF00924,CK_Syn_CC9311_02818,PF00924|PF21082
CK_00056922,PF00924,CK_Syn_MEDNS5_02672,PF00924|PF21082
CK_00056926,PF04945  PF00122  PF00122  PF00702  PF08282,CK_Cya_PCC6307_03384,PF00122|PF00702|PF04945
CK_00056927,PF00690  PF00122  PF00122  PF00702  PF08282  PF00689,CK_Cya_WH5701_08604,PF00122|PF00689|PF00690|PF00702|PF13246
CK_00056928,PF00122  PF00122  PF00702  PF00689,CK_Cya_WH5701_04070,PF00122|PF00689|PF00702
CK_00056929,PF00012,CK_Syn_WH8016_00359,PF00012
CK_00056930,PF00196,CK_Cya_CB0101_11986,PF00196
CK_00056933,PF16363,CK_Syn_WH8102_00445,PF16363
CK_00056934,PF16363,CK_Pro_MIT9303_01011,PF01370
CK_00056935,PF16363,CK_Pro_MIT9123_00388,PF01370
CK_00056936,PF16363,CK_Syn_BIOS-E4-1_00299,PF01370
CK_00056937,PF16363,CK_Cya_PCC7001_01659,PF01370
CK_00056938,PF05368,CK_Pro_SS51_00042,PF16363
CK_00056939,PF13460  PF16363,CK_Syn_A15-24_00108,PF01370
CK_00056940,PF16363,CK_Pro_MIT0602_02025,PF01370
CK_00056941,PF00834,CK_Pro_SB_00120,PF00834
CK_00056942,PF02350,CK_Pro_MIT9202_01837,PF02350
CK_00056943,PF00140  PF04542  PF04539  PF04545,CK_Cya_CB0101_05201,PF00140|PF04542|PF04545
CK_00056944,PF00140  PF07638,CK_Syn_A15-44_01231,PF00140|PF04539|PF04542|PF04545
CK_00056945,PF00140  PF04542  PF04297,CK_Syn_SYN20_01565,PF04542
CK_00056947,PF00487,CK_Syn_A15-44_01244,PF00487
CK_00056948,PF07638,CK_Syn_RS9907_02002,PF04542|PF04545
CK_00056949,PF04542,CK_Cya_CB0205_08193,PF04542
CK_00056953,PF09565  PF04851  PF00271,CK_Syn_PROS-7-1_01019,PF00176|PF00271|PF13091
CK_00056954,PF18766  PF10593,CK_Pro_SS2_00409,PF10593|PF18766
CK_00056955,PF04851  PF16203  PF08774,CK_Pro_MIT0604_01405,PF04851
CK_00056956,PF01555,CK_Pro_MIT0604_01404,PF01555
CK_00056957,PF01878  PF13391,CK_Cya_NS01_01463,PF13391
CK_00056959,PF18731  PF04465,CK_Syn_WH8101_01065,PF04465|PF18731
CK_00056961,PF02384  PF12950,CK_Syn_RS9909_00334,PF07669
CK_00056962,PF04465,CK_Syn_RS9917_04133, 
CK_00056964,PF00145,CK_Cya_CB0101_13304,PF00145
CK_00056965,PF00145,CK_Syn_WH8016_00629,PF00145
CK_00056966,PF01555  PF08241,CK_Syn_A18-25c_01438,PF01555
CK_00056967,PF02086  PF01555,CK_Syn_BIOS-U3-1_01260,PF01555
CK_00056968,PF12161  PF12161  PF02384,CK_Cya_NS01_01171,PF02384|PF12161
CK_00056969,PF12161  PF02384,CK_Syn_A15-44_00730,PF02384|PF12161
CK_00056970,PF12161  PF12161  PF02384,CK_Syn_NOUM97013_01733,PF02384|PF12161
CK_00056971,PF12161  PF12161  PF02384  PF01420  PF04326,CK_Syn_A15-44_00732,PF02384|PF04326|PF12161
CK_00056972,PF12161  PF12161  PF02384,CK_Syn_RS9902_00468,PF02384|PF12161
CK_00056973,PF12161  PF12161  PF02384,CK_Pro_MIT9116_00162,PF02384|PF12161
CK_00056974,PF12161  PF02384,CK_Pro_MIT0603_00730,PF02384|PF12161
CK_00056975,PF12161  PF02384  PF07669,CK_Syn_A15-24_00400,PF02384|PF12161
CK_00056977,PF12161  PF12161  PF02384,CK_Cya_NS01_01766,PF02384|PF12161
CK_00056978,PF12161  PF02384,CK_Cya_PCC6307_01939,PF02384|PF12161
CK_00056979,PF12161  PF02384,CK_Cya_PCC7001_00825,PF02384|PF12161
CK_00056980,PF02384  PF01420  PF04326,CK_Syn_ROS8604_01098,PF04326
CK_00056982,PF01420  PF01420  PF01420,CK_Pro_MIT0603_00729,PF01420
CK_00056983,PF12161  PF12161  PF02384,CK_Cya_WH5701_04165,PF02384|PF12161
CK_00056984,PF01420  PF01420,CK_Cya_WH5701_04170,PF01420
CK_00056985,PF18766  PF11898,CK_Syn_BMK-MC-1_02450,PF00271|PF04851
CK_00056986,PF00271  PF11907,CK_Cya_WH5701_04150,PF00271|PF11907
CK_00056988,PF12161  PF02384,CK_Syn_ROS8604_01095,PF02384
CK_00056989,PF01420  PF01420,CK_Syn_ROS8604_01096,PF01420
CK_00056990,PF13588  PF04851  PF00271  PF08463,CK_Cya_PCC6307_01941,PF00271|PF04851|PF08463
CK_00056991,PF13643  PF04313  PF18766  PF00271  PF08463,CK_Syn_ROS8604_01094,PF00271|PF04851|PF08463
CK_00056992,PF04313  PF18766  PF00271  PF08463,CK_Cya_CB0101_11581,PF00271|PF04851|PF08463
CK_00056993,PF01420  PF01420,CK_Cya_PCC6307_01940,PF01420
CK_00056994,PF01420  PF01420,CK_Cya_CB0101_11556,PF01420
CK_00056995,PF01420  PF01420,CK_Pro_MIT0602_02046,PF01420
CK_00056996,PF01420  PF01420,CK_Cya_NS01_00048,PF01420
CK_00056997,PF01420  PF01420,CK_Cya_NS01_01765,PF01420
CK_00056998,PF01420  PF01420,CK_Cya_PCC6307_01765,PF01420
CK_00056999,PF01420,CK_Cya_PCC7001_01993, 
CK_00057000,PF01420  PF01420,CK_Pro_MIT9107_00685,PF01420
CK_00057001,PF01420  PF01420  PF01420,CK_Pro_MIT9201_01306,PF01420
CK_00057002,PF01420  PF01420,CK_Syn_RS9902_00469,PF01420
CK_00057003,PF04313  PF04851  PF04851  PF18766  PF00271  PF11867,CK_Syn_NOUM97013_01735,PF04313|PF18766|PF22679
CK_00057004,PF04313  PF18766  PF18766  PF11867,CK_Cya_NS01_01764,PF04313|PF18766|PF22679
CK_00057005,PF04313  PF18766  PF18766  PF00271  PF11867,CK_Syn_WH7805_05816,PF04313|PF11867|PF18766|PF22679
